ticker,yf_ticker,sector,industry
A UN,A,Healthcare,Diagnostics & Research
AAPL UW,AAPL,Technology,Consumer Electronics
ABBV UN,ABBV,Healthcare,Drug Manufacturers - General
ABNB UW,ABNB,Consumer Cyclical,Travel Services
ABT UN,ABT,Healthcare,Medical Devices
ACGL UW,ACGL,Financial Services,Insurance - Diversified
ACN UN,ACN,Technology,Information Technology Services
ADBE UW,ADBE,Technology,Software - Application
ADI UW,ADI,Technology,Semiconductors
ADM UN,ADM,Consumer Defensive,Farm Products
ADP UW,ADP,Technology,Software - Application
ADSK UW,ADSK,Technology,Software - Application
AEE UN,AEE,Utilities,Utilities - Regulated Electric
AEP UW,AEP,Utilities,Utilities - Regulated Electric
AES UN,AES,Utilities,Utilities - Diversified
AFL UN,AFL,Financial Services,Insurance - Life
AIG UN,AIG,Financial Services,Insurance - Diversified
AIZ UN,AIZ,Financial Services,Insurance - Property & Casualty
AJG UN,AJG,Financial Services,Insurance Brokers
AKAM UW,AKAM,Technology,Software - Infrastructure
ALB UN,ALB,Basic Materials,Specialty Chemicals
ALGN UW,ALGN,Healthcare,Medical Instruments & Supplies
ALL UN,ALL,Financial Services,Insurance - Property & Casualty
ALLE UN,ALLE,Industrials,Security & Protection Services
AMAT UW,AMAT,Technology,Semiconductor Equipment & Materials
AMCR UN,AMCR,Consumer Cyclical,Packaging & Containers
AMD UW,AMD,Technology,Semiconductors
AME UN,AME,Industrials,Specialty Industrial Machinery
AMGN UW,AMGN,Healthcare,Drug Manufacturers - General
AMP UN,AMP,Financial Services,Asset Management
AMT UN,AMT,Real Estate,REIT - Specialty
AMZN UW,AMZN,Consumer Cyclical,Internet Retail
ANET UN,ANET,Technology,Computer Hardware
ANSS UW,ANSS,,
AON UN,AON,Financial Services,Insurance Brokers
AOS UN,AOS,Industrials,Specialty Industrial Machinery
APA UW,APA,Energy,Oil & Gas E&P
APD UN,APD,Basic Materials,Specialty Chemicals
APH UN,APH,Technology,Electronic Components
APO UN,APO,Financial Services,Asset Management
APTV UN,APTV,Consumer Cyclical,Auto Parts
ARE UN,ARE,Real Estate,REIT - Office
ATO UN,ATO,Utilities,Utilities - Regulated Gas
AVB UN,AVB,Real Estate,REIT - Residential
AVGO UW,AVGO,Technology,Semiconductors
AVY UN,AVY,Consumer Cyclical,Packaging & Containers
AWK UN,AWK,Utilities,Utilities - Regulated Water
AXON UW,AXON,Industrials,Aerospace & Defense
AXP UN,AXP,Financial Services,Credit Services
AZO UN,AZO,Consumer Cyclical,Auto Parts
BA UN,BA,Industrials,Aerospace & Defense
BAC UN,BAC,Financial Services,Banks - Diversified
BALL UN,BALL,Consumer Cyclical,Packaging & Containers
BAX UN,BAX,Healthcare,Medical Instruments & Supplies
BBY UN,BBY,Consumer Cyclical,Specialty Retail
BDX UN,BDX,Healthcare,Medical Instruments & Supplies
BEN UN,BEN,Financial Services,Asset Management
BF/B UN,BF-B,Consumer Defensive,Beverages - Wineries & Distilleries
BG UN,BG,Consumer Defensive,Farm Products
BIIB UW,BIIB,Healthcare,Drug Manufacturers - General
BK UN,BK,,
BKNG UW,BKNG,Consumer Cyclical,Travel Services
BKR UW,BKR,Energy,Oil & Gas Equipment & Services
BLDR UN,BLDR,Industrials,Building Products & Equipment
BLK UN,BLK,Financial Services,Asset Management
BMY UN,BMY,Healthcare,Drug Manufacturers - General
BR UN,BR,Technology,Information Technology Services
BRK/B UN,BRK-B,Financial Services,Insurance - Diversified
BRO UN,BRO,Financial Services,Insurance Brokers
BSX UN,BSX,Healthcare,Medical Devices
BWA UN,BWA,Consumer Cyclical,Auto Parts
BX UN,BX,Financial Services,Asset Management
BXP UN,BXP,Real Estate,REIT - Office
C UN,C,Financial Services,Banks - Diversified
CAG UN,CAG,Consumer Defensive,Packaged Foods
CAH UN,CAH,Healthcare,Medical Distribution
CARR UN,CARR,Industrials,Building Products & Equipment
CAT UN,CAT,Industrials,Farm & Heavy Construction Machinery
CB UN,CB,Financial Services,Insurance - Property & Casualty
CBOE UF,,,
CBRE UN,CBRE,Real Estate,Real Estate Services
CCI UN,CCI,Real Estate,REIT - Specialty
CCL UN,CCL,Consumer Cyclical,Travel Services
CDNS UW,CDNS,Technology,Software - Application
CDW UW,CDW,Technology,Information Technology Services
CE UN,CE,Basic Materials,Chemicals
CEG UW,CEG,Utilities,Utilities - Independent Power Producers
CF UN,CF,Basic Materials,Agricultural Inputs
CFG UN,CFG,Financial Services,Banks - Regional
CHD UN,CHD,Consumer Defensive,Household & Personal Products
CHRW UW,CHRW,Industrials,Integrated Freight & Logistics
CHTR UW,CHTR,Communication Services,Telecom Services
CI UN,CI,Healthcare,Healthcare Plans
